nid,vram,func,words,call_sites,argc,stack_args,returns,leaf,sdk_calls,reaches,sdk_reexport
0xD767C29F,0x0245A0,func_000245A0,59,19,0,0,1,0,ModuleMgrForUser_D1FF982A;ModuleMgrForUser_2E0911AA;sceUtilityUnloadModule,ModuleMgrForUser;sceUtility,
0x3765ED01,0x028DE0,func_00028DE0,225,19,2,0,1,0,,,
0xD5D33185,0x03C1F0,func_0003C1F0,2,19,1,0,0,0,,ThreadManForUser;sceAtrac3plus;sceSasCore,
0x96AEAC25,0x052874,func_00052874,163,19,1,0,1,0,,,
0xE9550159,0x0552B4,func_000552B4,15,19,1,0,0,0,,,
0x9090346C,0x05892C,func_0005892C,20,19,3,0,1,1,,,
0x1FE543F1,0x0155D4,func_000155D4,12,18,2,0,1,1,,,
0x96BC2DC8,0x02442C,func_0002442C,6,18,1,0,0,0,,ThreadManForUser;sceUtility,
0x8AC7E9E7,0x03D70C,func_0003D70C,96,18,1,0,1,0,,sceLibFont,
0x6B9DF7E8,0x03D88C,func_0003D88C,67,18,6,0,0,0,,,
0x67953A3E,0x04B3FC,func_0004B3FC,12,18,1,0,0,0,,sceNetAdhoc;sceNetAdhocMatching,
0x639AE71F,0x059588,func_00059588,20,18,1,0,1,0,,,
0xCFD504DA,0x05D544,func_0005D544,15,18,0,0,1,0,,,
0x348F1A33,0x027810,func_00027810,18,17,2,0,1,0,,,
0x6FFA2A28,0x03B008,func_0003B008,104,17,2,0,1,0,,IoFileMgrForUser;Kernel_Library;SysMemUserForUser;ThreadManForUser;sceUmdUser,
0x6E42DDCD,0x03C204,func_0003C204,3,17,0,0,0,0,,ThreadManForUser;sceAtrac3plus;sceSasCore,
0x65DA0419,0x03C2FC,func_0003C2FC,2,17,1,0,0,0,,ThreadManForUser;sceAtrac3plus;sceSasCore,
0xCA477B34,0x04B6E4,func_0004B6E4,17,17,2,0,0,0,,,
0x7EBDB800,0x058A24,func_00058A24,8,17,0,0,1,0,,,
0xB2FABBDD,0x0596D4,func_000596D4,3,17,1,0,1,1,,,
0x7F9073E5,0x059B50,func_00059B50,83,17,2,0,0,0,,Kernel_Library;SysMemUserForUser,
0xB6B6E902,0x05DFB4,func_0005DFB4,103,17,1,0,1,0,,,
0x49C27DA2,0x05EF70,func_0005EF70,4,17,1,0,0,0,,,
0x711AC797,0x016AF4,func_00016AF4,9,16,0,0,0,1,,,
0x5DE4869F,0x01F54C,func_0001F54C,29,16,6,0,1,0,,Kernel_Library;sceGe_user,
0xB9064026,0x01F5C0,func_0001F5C0,21,16,1,0,1,0,,Kernel_Library;sceGe_user,
0xE2A5CE8D,0x02B4F0,func_0002B4F0,33,16,3,0,1,0,,,
0x5471DB90,0x02CE8C,func_0002CE8C,2,16,0,0,0,0,,,
0xD9951D8F,0x02F8C0,func_0002F8C0,3,16,0,0,1,1,,,
0xFD84C4D3,0x031C58,func_00031C58,121,16,4,0,1,0,,ThreadManForUser;sceLibFont,
0x291D6262,0x035E70,func_00035E70,46,16,3,0,1,0,,ThreadManForUser,
0x778817A2,0x03B1A8,func_0003B1A8,72,16,0,0,1,0,,Kernel_Library;SysMemUserForUser;ThreadManForUser;sceAtrac3plus;sceLibFont;sceSasCore;sceUtility,
0x82B715FD,0x03C3D0,func_0003C3D0,2,16,1,0,0,0,,,
0x06380DFA,0x0430BC,func_000430BC,3,16,1,0,0,1,,,
0x0D961646,0x0430C8,func_000430C8,3,16,0,0,1,1,,,
0x90281239,0x04FF2C,func_0004FF2C,11,16,0,0,1,0,,,
0xE9F3212D,0x0530C0,func_000530C0,12,16,1,0,1,0,,,
0x16D9A578,0x053E74,func_00053E74,21,16,1,0,1,0,,,
0x6A96E306,0x054420,func_00054420,12,16,1,0,1,0,,,
0x327E7DA1,0x0596C8,func_000596C8,3,16,1,0,1,1,,,
0xCC222EE8,0x05F16C,func_0005F16C,4,16,1,0,0,0,,,
0x317716E5,0x016718,func_00016718,8,15,0,0,0,1,,,
0x30CEF747,0x02E630,func_0002E630,33,15,2,0,0,1,,,
0x1CC5878C,0x031138,func_00031138,44,15,1,0,1,0,,,
0xF60A4259,0x03D6A0,func_0003D6A0,27,15,1,0,1,0,,,
0xBF4D5B0C,0x044784,func_00044784,3,15,0,0,1,1,,,
0x7A41135B,0x052BFC,func_00052BFC,11,15,1,0,1,0,,,
0x50266C2E,0x05D760,func_0005D760,9,15,0,0,1,0,,,
0x79487C92,0x05ECE0,func_0005ECE0,4,15,1,0,0,0,,,
0x41CA0A1C,0x05EF80,func_0005EF80,4,15,1,0,0,0,,,
0xF16047DB,0x0154D0,func_000154D0,8,14,3,0,1,1,,,
0x0A0CC3A4,0x01694C,func_0001694C,9,14,0,0,0,1,,,
0xB4471B5E,0x018688,func_00018688,8,14,3,0,1,1,,,
0xD97274B6,0x02537C,func_0002537C,3,14,0,0,1,1,,,
0x0B962FD4,0x0298E0,func_000298E0,6,14,1,0,1,1,,,
0xD1C6F209,0x02B574,func_0002B574,4,14,0,0,1,0,,,
0xC5D3B70C,0x030270,func_00030270,5,14,3,0,1,0,,,
0xC5BDA06E,0x03B2C8,func_0003B2C8,40,14,0,0,1,0,sceUtilitySavedataUpdate;sceUtilityMsgDialogUpdate,ThreadManForUser;sceAtrac3plus;sceGe_user;sceLibFont;sceSasCore;sceUtility,
0xED17CBAC,0x03C3C0,func_0003C3C0,2,14,0,0,0,0,,,
0x97BB99A5,0x042EAC,func_00042EAC,132,14,4,0,1,0,,sceLibFont,
0xEA018EFE,0x0506B4,func_000506B4,14,14,1,0,1,0,,,
0x442C88C6,0x054500,func_00054500,10,14,0,0,1,0,,,
0x916286F3,0x0595D8,func_000595D8,14,14,0,0,1,0,,,
0x4DB996F6,0x05EAD8,func_0005EAD8,4,14,1,0,0,0,,,
0x3C9CB549,0x05EF0C,func_0005EF0C,4,14,1,0,0,0,,,
0xC07BB470,0x06E0BC,ThreadManForUser_C07BB470,0,14,0,0,0,1,,ThreadManForUser,ThreadManForUser
0xED1410E0,0x06E164,ThreadManForUser_ED1410E0,0,14,0,0,0,1,,ThreadManForUser,ThreadManForUser
0xD979E9BF,0x06E11C,ThreadManForUser_D979E9BF,0,14,0,0,0,1,,ThreadManForUser,ThreadManForUser
0x52DF196C,0x00CFD0,func_0000CFD0,6,13,1,0,1,1,,,
0x310DE5C7,0x015208,func_00015208,7,13,3,0,1,1,,,
0x45D54BCF,0x0162D4,func_000162D4,23,13,2,0,1,1,,,
0x28633E5D,0x01B134,func_0001B134,13,13,1,0,1,1,,,
0x1078C73B,0x022B54,func_00022B54,15,13,1,0,1,0,,Kernel_Library;SysMemUserForUser,
0xA36635DA,0x026E40,func_00026E40,21,13,2,0,1,0,,,
0xEBD1986B,0x028DA0,func_00028DA0,16,13,2,0,0,1,,,
0x60BA0722,0x029288,func_00029288,56,13,1,0,1,0,,,
0x9490E557,0x029A20,func_00029A20,21,13,3,0,1,1,,,
0x4E722BBD,0x02C9E8,func_0002C9E8,29,13,0,0,1,0,,,
0x04E1CB0F,0x03C38C,func_0003C38C,2,13,0,0,0,0,,,
0xFA53F08C,0x03D654,func_0003D654,19,13,1,0,1,0,,,
0x31D0BD26,0x055170,func_00055170,23,13,2,0,1,0,,,
0xC8AF3744,0x056FB0,func_00056FB0,42,13,2,0,1,0,,,
0x5E149703,0x058D74,func_00058D74,22,13,2,0,1,0,,,
0x99FF9D51,0x059568,func_00059568,8,13,0,0,1,0,,,
0x411B4582,0x00630C,func_0000630C,3,12,1,0,1,1,,,
0x73918516,0x015B0C,func_00015B0C,32,12,2,0,1,1,,,
0xB56890DA,0x0266BC,func_000266BC,23,12,3,0,1,0,,,
0x5C1AEE8E,0x026DF8,func_00026DF8,18,12,2,0,1,0,,,
